calc_time,funding_interval_hours,last_funding_rate
1727740800000,8,0.00010000
1727769600000,8,0.00010000
1727798400000,8,0.00008298
1727827200000,8,-0.00008817
1727856000000,8,-0.00002887
1727884800000,8,0.00004283
1727913600000,8,0.00009380
1727942400000,8,0.00004645
1727971200000,8,0.00008589
1728000000000,8,0.00005189
1728028800000,8,0.00009306
1728057600000,8,0.00007046
1728086400000,8,0.00000780
1728115200001,8,0.00009818
1728144000000,8,0.00006413
1728172800001,8,0.00010000
1728201600000,8,0.00008655
1728230400000,8,0.00010000
1728259200001,8,0.00008209
1728288000001,8,0.00010000
1728316800001,8,0.00010000
1728345600000,8,0.00007718
1728374400000,8,0.00008840
1728403200001,8,0.00010000
1728432000000,8,0.00010000
1728460800000,8,0.00010000
1728489600000,8,0.00010000
1728518400000,8,0.00010000
1728547200001,8,0.00010000
1728576000000,8,0.00010000
1728604800000,8,-0.00000779
1728633600000,8,-0.00002667
1728662400000,8,0.00005817
1728691200000,8,0.00010000
1728720000000,8,0.00010000
1728748800000,8,0.00005207
1728777600000,8,0.00010000
1728806400000,8,0.00010000
1728835200000,8,0.00010000
1728864000000,8,0.00010000
1728892800000,8,0.00010000
1728921600000,8,0.00010000
1728950400000,8,0.00010000
1728979200000,8,0.00010000
1729008000000,8,0.00010000
1729036800000,8,0.00009656
1729065600000,8,0.00004599
1729094400000,8,0.00010000
1729123200000,8,0.00006725
1729152000000,8,0.00003823
1729180800000,8,0.00010000
1729209600009,8,0.00010000
1729238400001,8,0.00005982
1729267200000,8,0.00010000
1729296000001,8,0.00009031
1729324800001,8,0.00010000
1729353600000,8,0.00010000
1729382400000,8,0.00010000
1729411200000,8,0.00010000
1729440000000,8,0.00010000
1729468800000,8,0.00010000
1729497600000,8,0.00010000
1729526400000,8,0.00010000
1729555200000,8,0.00010000
1729584000000,8,0.00010000
1729612800000,8,0.00010000
1729641600000,8,0.00010000
1729670400001,8,0.00010000
1729699200000,8,0.00010000
1729728000000,8,0.00010000
1729756800000,8,0.00010000
1729785600000,8,0.00010000
1729814400001,8,0.00010000
1729843200000,8,0.00010000
1729872000000,8,0.00010000
1729900800000,8,0.00010000
1729929600000,8,0.00010000
1729958400000,8,0.00010000
1729987200000,8,0.00010000
1730016000000,8,0.00010000
1730044800000,8,0.00010000
1730073600000,8,0.00010000
1730102400000,8,0.00010000
1730131200000,8,0.00010000
1730160000000,8,0.00010000
1730188800000,8,0.00010000
1730217600000,8,0.00010000
1730246400000,8,0.00010000
1730275200000,8,0.00010000
1730304000010,8,0.00010000
1730332800006,8,0.00010000
