calc_time,funding_interval_hours,last_funding_rate
1709251200000,8,0.00060069
1709280000000,8,0.00059611
1709308800000,8,0.00047263
1709337600000,8,0.00010000
1709366400000,8,0.00024549
1709395200001,8,0.00068311
1709424000000,8,0.00054230
1709452800000,8,0.00057456
1709481600000,8,0.00049753
1709510400000,8,0.00041948
1709539200000,8,0.00040148
1709568000000,8,0.00068712
1709596800000,8,0.00010000
1709625600002,8,0.00110239
1709654400000,8,0.00067329
1709683200000,8,0.00016256
1709712000000,8,0.00034982
1709740800000,8,0.00049602
1709769600000,8,0.00040128
1709798400000,8,0.00022267
1709827200000,8,0.00035520
1709856000000,8,0.00019823
1709884800000,8,0.00023164
1709913600001,8,0.00055975
1709942400000,8,0.00010000
1709971200001,8,0.00010000
1710000000000,8,0.00020042
1710028800000,8,0.00020619
1710057600000,8,0.00073722
1710086400000,8,0.00062035
1710115200000,8,0.00038313
1710144000000,8,0.00107745
1710172800000,8,0.00098585
1710201600000,8,0.00047095
1710230400001,8,0.00057822
1710259200000,8,0.00073692
1710288000000,8,0.00030843
1710316800000,8,0.00055361
1710345600000,8,0.00010000
1710374400000,8,0.00010000
1710403200000,8,0.00016743
1710432000002,8,0.00048628
1710460800000,8,0.00033098
1710489600000,8,0.00034498
1710518400000,8,0.00017044
1710547200001,8,0.00010000
1710576000001,8,0.00034539
1710604800000,8,0.00027708
1710633600000,8,0.00050823
1710662400000,8,0.00042096
1710691200000,8,0.00039807
1710720000000,8,0.00010986
1710748800000,8,0.00021760
1710777600001,8,0.00013347
1710806400000,8,0.00010000
1710835200000,8,0.00010000
1710864000000,8,0.00037318
1710892800000,8,0.00010000
1710921600001,8,0.00023260
1710950400000,8,0.00010000
1710979200000,8,0.00010000
1711008000000,8,0.00015460
1711036800000,8,0.00020652
1711065600000,8,0.00010000
1711094400000,8,0.00010000
1711123200000,8,0.00010000
1711152000000,8,0.00010000
1711180800000,8,0.00018774
1711209600000,8,0.00021069
1711238400000,8,0.00010000
1711267200000,8,0.00010000
1711296000000,8,0.00044465
1711324800000,8,0.00036728
1711353600000,8,0.00010000
1711382400000,8,0.00025431
1711411200000,8,0.00061956
1711440000000,8,0.00010000
1711468800000,8,0.00025417
1711497600001,8,0.00040304
1711526400001,8,0.00052617
1711555200000,8,0.00063059
1711584000000,8,0.00010000
1711612800000,8,0.00034750
1711641600000,8,0.00057298
1711670400001,8,0.00010000
1711699200000,8,0.00027830
1711728000001,8,0.00033233
1711756800000,8,0.00021962
1711785600000,8,0.00043781
1711814400004,8,0.00046856
1711843200000,8,0.00014525
