calc_time,funding_interval_hours,last_funding_rate
1777593600000,8,-0.00004256
1777622400000,8,0.00005021
1777651200000,8,0.00001213
1777680000000,8,-0.00006105
1777708800002,8,0.00002464
1777737600010,8,0.00004276
1777766400000,8,0.00006127
1777795200004,8,-0.00000486
1777824000002,8,0.00006924
1777852800009,8,-0.00000654
1777881600005,8,-0.00000899
1777910400001,8,-0.00003862
1777939200000,8,-0.00001445
1777968000000,8,-0.00001837
1777996800000,8,-0.00012648
1778025600000,8,-0.00006930
1778054400000,8,-0.00004470
1778083200000,8,0.00000682
1778112000001,8,-0.00005917
1778140800005,8,0.00003060
1778169600002,8,0.00002754
1778198400003,8,0.00000216
1778227200002,8,-0.00000613
1778256000000,8,0.00005324
1778284800002,8,0.00000818
1778313600000,8,0.00005321
1778342400003,8,0.00003183
1778371200000,8,-0.00000853
1778400000000,8,0.00003140
1778428800000,8,0.00001714
1778457600006,8,0.00001099
1778486400001,8,0.00005149
1778515200000,8,0.00004599
1778544000002,8,-0.00001390
1778572800006,8,0.00005606
1778601600004,8,0.00002364
1778630400000,8,0.00002500
1778659200000,8,0.00000101
1778688000000,8,0.00008656
1778716800004,8,0.00000696
1778745600000,8,0.00002910
1778774400004,8,0.00000990
1778803200002,8,-0.00000616
1778832000000,8,0.00003135
1778860800001,8,0.00003851
1778889600000,8,0.00000614
1778918400002,8,-0.00005995
1778947200000,8,-0.00005910
1778976000002,8,0.00000215
1779004800000,8,-0.00003098
1779033600000,8,-0.00000703
1779062400005,8,-0.00001381
1779091200008,8,0.00002725
1779120000007,8,0.00010000
1779148800001,8,0.00004726
1779177600003,8,0.00010000
1779206400008,8,0.00010000
1779235200001,8,0.00010000
1779264000000,8,0.00010000
1779292800000,8,0.00010000
1779321600001,8,0.00010000
1779350400000,8,0.00007689
1779379200013,8,0.00010000
1779408000000,8,0.00009455
1779436800000,8,0.00009043
1779465600000,8,0.00010000
1779494400004,8,0.00005691
1779523200000,8,0.00005832
1779552000000,8,0.00003311
1779580800000,8,-0.00000916
1779609600007,8,-0.00003932
1779638400000,8,-0.00002907
1779667200001,8,0.00009106
1779696000001,8,0.00005371
1779724800001,8,0.00003846
1779753600003,8,0.00003917
1779782400003,8,0.00010000
1779811200004,8,0.00010000
1779840000006,8,0.00010000
1779868800000,8,0.00010000
1779897600000,8,0.00010000
1779926400001,8,0.00010000
1779955200000,8,0.00010000
1779984000000,8,0.00010000
1780012800002,8,0.00010000
1780041600000,8,0.00010000
1780070400000,8,0.00010000
1780099200000,8,0.00010000
1780128000001,8,0.00010000
1780156800000,8,0.00008348
1780185600008,8,0.00004186
