calc_time,funding_interval_hours,last_funding_rate
1722470400001,8,0.00008572
1722499200001,8,0.00010000
1722528000000,8,0.00010000
1722556800000,8,0.00010000
1722585600000,8,0.00010000
1722614400000,8,0.00010000
1722643200001,8,0.00010000
1722672000000,8,0.00010000
1722700800001,8,0.00000169
1722729600000,8,0.00005169
1722758400000,8,-0.00004131
1722787200000,8,0.00001297
1722816000000,8,-0.00007521
1722844800000,8,-0.00006610
1722873600000,8,0.00000979
1722902400000,8,0.00010000
1722931200000,8,-0.00011294
1722960000001,8,0.00007646
1722988800000,8,-0.00007044
1723017600000,8,-0.00003168
1723046400000,8,0.00007352
1723075200000,8,0.00004367
1723104000000,8,0.00007945
1723132800000,8,-0.00003213
1723161600000,8,-0.00000414
1723190400000,8,0.00010000
1723219200000,8,0.00006012
1723248000000,8,-0.00003404
1723276800000,8,0.00010000
1723305600000,8,0.00010000
1723334400000,8,0.00004261
1723363200000,8,0.00009260
1723392000000,8,-0.00003615
1723420800001,8,0.00004543
1723449600000,8,0.00006486
1723478400000,8,0.00002937
1723507200000,8,0.00010000
1723536000000,8,0.00005766
1723564800000,8,-0.00006557
1723593600000,8,0.00006290
1723622400000,8,-0.00000549
1723651200000,8,-0.00011897
1723680000000,8,-0.00007077
1723708800000,8,-0.00003491
1723737600000,8,-0.00003560
1723766400001,8,-0.00013799
1723795200000,8,0.00003470
1723824000000,8,-0.00005297
1723852800000,8,-0.00002442
1723881600000,8,0.00006238
1723910400000,8,0.00003922
1723939200000,8,0.00009707
1723968000000,8,0.00010000
1723996800001,8,0.00002632
1724025600000,8,-0.00004489
1724054400001,8,-0.00006780
1724083200000,8,-0.00007203
1724112000000,8,-0.00009761
1724140800000,8,0.00005937
1724169600000,8,-0.00002800
1724198400000,8,-0.00012194
1724227200000,8,0.00004174
1724256000000,8,0.00004223
1724284800000,8,0.00010000
1724313600000,8,0.00008801
1724342400000,8,0.00001742
1724371200000,8,0.00010000
1724400000000,8,0.00000624
1724428800000,8,0.00002611
1724457600000,8,-0.00008200
1724486400005,8,0.00010000
1724515200000,8,0.00010000
1724544000000,8,0.00010000
1724572800000,8,0.00004816
1724601600000,8,0.00010000
1724630400000,8,0.00006259
1724659200000,8,0.00001892
1724688000000,8,0.00006767
1724716800000,8,-0.00001141
1724745600000,8,0.00005076
1724774400000,8,0.00000381
1724803200000,8,-0.00019923
1724832000000,8,-0.00006870
1724860800000,8,-0.00004425
1724889600000,8,0.00001765
1724918400000,8,-0.00007321
1724947200000,8,0.00000149
1724976000000,8,-0.00001219
1725004800000,8,-0.00005516
1725033600000,8,0.00004583
1725062400002,8,0.00003927
