calc_time,funding_interval_hours,last_funding_rate
1672531200005,8,-0.00001609
1672560000000,8,0.00004835
1672588800001,8,0.00002873
1672617600015,8,0.00003540
1672646400011,8,0.00010000
1672675200013,8,0.00010000
1672704000010,8,0.00003485
1672732800026,8,0.00006691
1672761600009,8,0.00004216
1672790400016,8,0.00005027
1672819200000,8,0.00010000
1672848000000,8,0.00010000
1672876800009,8,0.00010000
1672905600008,8,0.00006389
1672934400000,8,0.00010000
1672963200000,8,0.00001276
1672992000000,8,0.00003541
1673020800002,8,0.00009198
1673049600004,8,-0.00002090
1673078400011,8,-0.00003004
1673107200013,8,0.00005953
1673136000014,8,-0.00002737
1673164800006,8,0.00004412
1673193600008,8,0.00000462
1673222400004,8,-0.00002825
1673251200005,8,0.00004593
1673280000000,8,0.00004831
1673308800012,8,0.00005163
1673337600021,8,0.00003725
1673366400000,8,0.00000279
1673395200014,8,-0.00001836
1673424000005,8,0.00002866
1673452800005,8,0.00010000
1673481600014,8,0.00010000
1673510400000,8,0.00010000
1673539200010,8,0.00010000
1673568000000,8,0.00008235
1673596800000,8,0.00008900
1673625600014,8,0.00009957
1673654400001,8,-0.00000440
1673683200010,8,0.00021478
1673712000002,8,0.00010000
1673740800014,8,0.00010000
1673769600002,8,0.00010000
1673798400000,8,0.00010000
1673827200006,8,0.00010000
1673856000021,8,0.00010000
1673884800000,8,0.00010000
1673913600013,8,0.00010000
1673942400011,8,0.00010000
1673971200013,8,0.00010000
1674000000000,8,0.00006088
1674028800000,8,0.00010000
1674057600000,8,0.00010000
1674086400000,8,0.00010000
1674115200014,8,0.00010000
1674144000000,8,0.00010000
1674172800000,8,0.00010000
1674201600013,8,0.00008957
1674230400004,8,0.00010000
1674259200000,8,0.00003350
1674288000017,8,0.00010000
1674316800010,8,0.00008904
1674345600000,8,0.00010000
1674374400001,8,0.00010000
1674403200017,8,0.00010000
1674432000008,8,0.00010000
1674460800011,8,0.00010000
1674489600000,8,0.00010000
1674518400007,8,0.00010000
1674547200017,8,0.00010000
1674576000000,8,0.00010000
1674604800000,8,0.00010000
1674633600016,8,0.00010000
1674662400000,8,0.00010000
1674691200011,8,0.00010000
1674720000004,8,0.00010000
1674748800009,8,0.00010000
1674777600001,8,0.00007772
1674806400004,8,0.00006149
1674835200005,8,0.00007784
1674864000015,8,0.00010000
1674892800016,8,0.00010000
1674921600017,8,0.00010000
1674950400003,8,0.00008976
1674979200000,8,0.00010000
1675008000000,8,0.00010000
1675036800001,8,0.00010000
1675065600013,8,0.00010000
1675094400000,8,0.00010000
