calc_time,funding_interval_hours,last_funding_rate
1688169600000,8,0.00010000
1688198400000,8,0.00010000
1688227200000,8,0.00010000
1688256000000,8,0.00010000
1688284800000,8,0.00010000
1688313600000,8,0.00010000
1688342400000,8,0.00010000
1688371200000,8,0.00010000
1688400000000,8,0.00010000
1688428800001,8,0.00010000
1688457600000,8,0.00010000
1688486400000,8,0.00010000
1688515200000,8,0.00010000
1688544000000,8,0.00010000
1688572800000,8,0.00003461
1688601600000,8,0.00010000
1688630400000,8,0.00010000
1688659200000,8,-0.00012217
1688688000000,8,-0.00001086
1688716800000,8,-0.00001004
1688745600000,8,-0.00006800
1688774400000,8,-0.00013899
1688803200000,8,0.00008309
1688832000000,8,0.00000397
1688860800000,8,-0.00002755
1688889600000,8,0.00009485
1688918400000,8,0.00007842
1688947200000,8,0.00008960
1688976000000,8,0.00010000
1689004800000,8,0.00010000
1689033600000,8,0.00010000
1689062400000,8,0.00010000
1689091200000,8,0.00010000
1689120000000,8,0.00010000
1689148800000,8,0.00010000
1689177600000,8,0.00010000
1689206400000,8,0.00009432
1689235200000,8,0.00010000
1689264000000,8,0.00010000
1689292800000,8,0.00010000
1689321600000,8,0.00010000
1689350400000,8,0.00010000
1689379200000,8,-0.00016049
1689408000000,8,0.00007695
1689436800000,8,0.00003287
1689465600000,8,0.00009090
1689494400000,8,0.00010000
1689523200000,8,0.00001435
1689552000000,8,0.00004970
1689580800001,8,0.00007973
1689609600000,8,0.00010000
1689638400001,8,0.00005844
1689667200000,8,0.00010000
1689696000000,8,0.00010000
1689724800000,8,0.00007423
1689753600000,8,0.00010000
1689782400000,8,0.00010000
1689811200000,8,0.00007282
1689840000000,8,0.00010000
1689868800000,8,0.00010000
1689897600000,8,0.00010000
1689926400000,8,0.00006740
1689955200000,8,0.00010000
1689984000000,8,0.00002802
1690012800000,8,0.00000588
1690041600000,8,-0.00005325
1690070400000,8,-0.00008491
1690099200000,8,0.00004153
1690128000000,8,0.00010000
1690156800000,8,0.00010000
1690185600000,8,-0.00001955
1690214400000,8,0.00010000
1690243200000,8,0.00008680
1690272000000,8,0.00007300
1690300800000,8,0.00010000
1690329600001,8,0.00009916
1690358400000,8,0.00010000
1690387200000,8,0.00010000
1690416000001,8,0.00002676
1690444800000,8,0.00010000
1690473600001,8,0.00004236
1690502400000,8,0.00000487
1690531200000,8,0.00003994
1690560000000,8,0.00010000
1690588800000,8,0.00003694
1690617600000,8,-0.00001978
1690646400000,8,-0.00001887
1690675200001,8,0.00003304
1690704000001,8,-0.00004386
1690732800000,8,0.00010000
