calc_time,funding_interval_hours,last_funding_rate
1701388800000,8,0.00005697
1701417600000,8,0.00010000
1701446400000,8,0.00010000
1701475200000,8,0.00010000
1701504000000,8,0.00010000
1701532800000,8,0.00010000
1701561600000,8,0.00010000
1701590400000,8,0.00010000
1701619200000,8,0.00010000
1701648000000,8,0.00010000
1701676800000,8,0.00036030
1701705600000,8,0.00010000
1701734400000,8,0.00010000
1701763200000,8,0.00010000
1701792000000,8,0.00010000
1701820800000,8,0.00010000
1701849600000,8,0.00010000
1701878400000,8,0.00010000
1701907200000,8,0.00010000
1701936000000,8,0.00010000
1701964800000,8,0.00010000
1701993600000,8,0.00010000
1702022400000,8,0.00010000
1702051200000,8,0.00013355
1702080000000,8,0.00010000
1702108800000,8,0.00010000
1702137600000,8,0.00010000
1702166400000,8,0.00021191
1702195200000,8,0.00029779
1702224000000,8,0.00028043
1702252800000,8,0.00013955
1702281600000,8,0.00010000
1702310400000,8,0.00020700
1702339200000,8,0.00010000
1702368000000,8,0.00010000
1702396800000,8,0.00010000
1702425600000,8,0.00013376
1702454400000,8,0.00010000
1702483200000,8,0.00018380
1702512000000,8,0.00010000
1702540800000,8,0.00010000
1702569600000,8,0.00010000
1702598400000,8,0.00010000
1702627200000,8,0.00010000
1702656000000,8,0.00010000
1702684800000,8,0.00010000
1702713600000,8,0.00015952
1702742400000,8,0.00023314
1702771200000,8,0.00010000
1702800000000,8,0.00019413
1702828800000,8,0.00018649
1702857600000,8,0.00020233
1702886400000,8,0.00010000
1702915200000,8,0.00016909
1702944000000,8,0.00010000
1702972800001,8,0.00010468
1703001600000,8,0.00010000
1703030400000,8,0.00010000
1703059200000,8,0.00010000
1703088000000,8,0.00010000
1703116800000,8,0.00018578
1703145600000,8,0.00033395
1703174400000,8,0.00011328
1703203200000,8,0.00015821
1703232000000,8,0.00014477
1703260800001,8,0.00022462
1703289600000,8,0.00010000
1703318400000,8,0.00010000
1703347200000,8,0.00010000
1703376000000,8,0.00010000
1703404800000,8,0.00028275
1703433600000,8,0.00010363
1703462400000,8,0.00010000
1703491200000,8,0.00039931
1703520000001,8,0.00042842
1703548800000,8,0.00051660
1703577600000,8,0.00038776
1703606400000,8,0.00056745
1703635200000,8,0.00033079
1703664000000,8,0.00035965
1703692800001,8,0.00043689
1703721600000,8,0.00010000
1703750400000,8,0.00051480
1703779200000,8,0.00050095
1703808000000,8,0.00018605
1703836800000,8,0.00022275
1703865600000,8,0.00022356
1703894400000,8,0.00012702
1703923200000,8,0.00053001
1703952000000,8,0.00026444
