calc_time,funding_interval_hours,last_funding_rate
1714521600000,8,0.00010000
1714550400000,8,0.00010000
1714579200000,8,0.00010000
1714608000000,8,0.00010000
1714636800001,8,0.00010000
1714665600000,8,-0.00009919
1714694400000,8,-0.00017999
1714723200000,8,-0.00012472
1714752000000,8,0.00010000
1714780800000,8,-0.00014458
1714809600000,8,0.00010000
1714838400001,8,0.00002061
1714867200000,8,0.00010000
1714896000000,8,0.00010000
1714924800000,8,0.00010000
1714953600000,8,0.00010000
1714982400000,8,0.00007323
1715011200000,8,0.00010000
1715040000000,8,0.00010000
1715068800000,8,0.00006635
1715097600000,8,0.00010000
1715126400000,8,0.00004446
1715155200000,8,0.00010000
1715184000000,8,0.00010000
1715212800000,8,0.00006420
1715241600000,8,-0.00003809
1715270400000,8,0.00010000
1715299200000,8,-0.00010189
1715328000001,8,-0.00011704
1715356800000,8,-0.00008397
1715385600000,8,0.00006037
1715414400000,8,0.00003194
1715443200000,8,0.00008087
1715472000000,8,-0.00001785
1715500800000,8,-0.00000445
1715529600000,8,0.00010000
1715558400000,8,0.00009775
1715587200000,8,0.00005959
1715616000000,8,0.00010000
1715644800000,8,-0.00003055
1715673600000,8,0.00010000
1715702400000,8,0.00007398
1715731200000,8,0.00010000
1715760000000,8,-0.00000348
1715788800003,8,0.00001108
1715817600000,8,0.00001829
1715846400000,8,0.00008225
1715875200000,8,0.00000738
1715904000000,8,0.00005177
1715932800000,8,0.00000586
1715961600000,8,0.00009380
1715990400000,8,0.00010000
1716019200000,8,0.00010000
1716048000001,8,0.00010000
1716076800000,8,0.00010000
1716105600000,8,0.00010000
1716134400000,8,0.00010000
1716163200000,8,0.00000659
1716192000000,8,0.00010000
1716220800000,8,0.00010000
1716249600000,8,0.00010000
1716278400001,8,0.00016546
1716307200000,8,0.00018815
1716336000000,8,0.00010000
1716364800001,8,0.00010000
1716393600000,8,0.00010000
1716422400000,8,0.00015112
1716451200000,8,0.00010000
1716480000000,8,0.00010000
1716508800000,8,0.00010000
1716537600000,8,0.00010000
1716566400001,8,0.00010000
1716595200003,8,0.00010000
1716624000000,8,0.00010000
1716652800000,8,0.00010000
1716681600000,8,0.00010000
1716710400000,8,0.00010000
1716739200000,8,0.00010000
1716768000000,8,0.00010000
1716796800000,8,0.00010000
1716825600000,8,0.00024474
1716854400000,8,0.00021350
1716883200000,8,0.00010000
1716912000000,8,0.00010000
1716940800000,8,0.00025219
1716969600000,8,0.00026673
1716998400000,8,0.00010000
1717027200000,8,0.00010000
1717056000000,8,0.00010000
1717084800000,8,0.00010000
1717113600000,8,0.00010000
