calc_time,funding_interval_hours,last_funding_rate
1746057600005,8,-0.00001153
1746086400003,8,-0.00011455
1746115200002,8,-0.00027309
1746144000000,8,-0.00012014
1746172800000,8,-0.00009390
1746201600002,8,-0.00003144
1746230400003,8,-0.00001695
1746259200000,8,-0.00006365
1746288000000,8,-0.00006292
1746316800000,8,0.00010000
1746345600000,8,0.00010000
1746374400001,8,0.00003221
1746403200001,8,-0.00002166
1746432000008,8,0.00003366
1746460800005,8,0.00001993
1746489600003,8,-1E-8
1746518400000,8,0.00004857
1746547200004,8,0.00010000
1746576000008,8,0.00008869
1746604800001,8,0.00000853
1746633600008,8,0.00006699
1746662400002,8,-0.00000852
1746691200000,8,-0.00004427
1746720000003,8,0.00006204
1746748800001,8,0.00010000
1746777600000,8,0.00010000
1746806400000,8,0.00010000
1746835200000,8,-0.00002955
1746864000000,8,0.00010000
1746892800000,8,0.00010000
1746921600003,8,0.00006426
1746950400005,8,0.00006144
1746979200003,8,0.00009048
1747008000001,8,0.00010000
1747036800006,8,0.00010000
1747065600001,8,0.00000396
1747094400004,8,0.00008950
1747123200006,8,0.00008984
1747152000003,8,0.00010000
1747180800007,8,0.00006814
1747209600000,8,0.00010000
1747238400008,8,0.00004358
1747267200000,8,0.00004000
1747296000004,8,0.00004108
1747324800002,8,0.00010000
1747353600005,8,0.00006084
1747382400004,8,0.00006449
1747411200000,8,0.00002671
1747440000002,8,0.00010000
1747468800001,8,0.00010000
1747497600003,8,-0.00002227
1747526400000,8,0.00006663
1747555200005,8,0.00008307
1747584000001,8,-0.00002056
1747612800002,8,0.00010000
1747641600000,8,0.00006520
1747670400010,8,0.00004237
1747699200004,8,-0.00005903
1747728000000,8,0.00004989
1747756800000,8,0.00004903
1747785600001,8,-0.00003962
1747814400003,8,0.00010000
1747843200000,8,0.00009148
1747872000001,8,0.00010000
1747900800000,8,0.00010000
1747929600005,8,0.00010000
1747958400006,8,0.00010000
1747987200002,8,0.00010000
1748016000002,8,0.00010000
1748044800014,8,0.00002020
1748073600001,8,0.00004027
1748102400003,8,0.00010000
1748131200000,8,0.00008939
1748160000000,8,0.00010000
1748188800000,8,0.00004550
1748217600000,8,0.00010000
1748246400001,8,0.00002977
1748275200006,8,0.00005456
1748304000000,8,0.00010000
1748332800000,8,0.00009615
1748361600000,8,0.00001473
1748390400003,8,0.00009698
1748419200000,8,0.00003504
1748448000002,8,0.00010000
1748476800000,8,0.00010000
1748505600000,8,0.00006035
1748534400000,8,0.00007773
1748563200000,8,-0.00000909
1748592000006,8,0.00000436
1748620800001,8,0.00008628
1748649600009,8,-0.00010130
