calc_time,funding_interval_hours,last_funding_rate
1693526400000,8,-0.00004875
1693555200000,8,0.00004789
1693584000000,8,0.00010000
1693612800000,8,0.00010000
1693641600000,8,0.00001601
1693670400000,8,-0.00007261
1693699200000,8,-0.00001218
1693728000000,8,-0.00006589
1693756800000,8,0.00007035
1693785600000,8,0.00007017
1693814400000,8,0.00010000
1693843200000,8,0.00005287
1693872000000,8,0.00004775
1693900800001,8,0.00010000
1693929600001,8,0.00010000
1693958400000,8,0.00004001
1693987200001,8,0.00009174
1694016000000,8,0.00003539
1694044800000,8,0.00009639
1694073600000,8,0.00001095
1694102400000,8,0.00009302
1694131200000,8,-0.00004082
1694160000000,8,0.00001334
1694188800000,8,-0.00001874
1694217600000,8,-0.00007198
1694246400000,8,0.00001294
1694275200000,8,0.00000803
1694304000000,8,5.7E-7
1694332800000,8,-0.00003751
1694361600000,8,0.00009153
1694390400000,8,0.00004826
1694419200000,8,0.00005422
1694448000000,8,0.00004498
1694476800000,8,-0.00001315
1694505600000,8,-0.00000692
1694534400000,8,-0.00004276
1694563200000,8,-0.00000560
1694592000000,8,0.00004186
1694620800000,8,-0.00002775
1694649600000,8,-0.00009967
1694678400000,8,0.00002333
1694707200000,8,-0.00008351
1694736000000,8,-0.00005562
1694764800000,8,-0.00004037
1694793600000,8,0.00005262
1694822400000,8,-0.00000606
1694851200000,8,-0.00003779
1694880000000,8,-0.00006127
1694908800000,8,-0.00010383
1694937600000,8,-0.00008842
1694966400000,8,-0.00006427
1694995200000,8,-0.00000207
1695024000000,8,0.00002077
1695052800001,8,0.00003575
1695081600000,8,-0.00001227
1695110400000,8,-0.00013685
1695139200000,8,0.00010000
1695168000001,8,-0.00003128
1695196800000,8,0.00000668
1695225600000,8,0.00006088
1695254400001,8,0.00002392
1695283200000,8,-0.00000320
1695312000000,8,0.00010000
1695340800000,8,-0.00006227
1695369600000,8,0.00005581
1695398400000,8,0.00009401
1695427200000,8,0.00008335
1695456000000,8,0.00002418
1695484800000,8,0.00000530
1695513600000,8,0.00003547
1695542400000,8,0.00002692
1695571200000,8,0.00003981
1695600000000,8,-0.00004121
1695628800000,8,0.00010000
1695657600000,8,0.00010000
1695686400000,8,0.00001517
1695715200001,8,0.00007387
1695744000000,8,0.00010000
1695772800000,8,0.00010000
1695801600000,8,0.00010000
1695830400000,8,0.00010000
1695859200000,8,0.00010000
1695888000000,8,0.00010000
1695916800000,8,0.00005500
1695945600000,8,0.00001308
1695974400000,8,0.00010000
1696003200000,8,0.00007436
