calc_time,funding_interval_hours,last_funding_rate
1719792000000,8,0.00038042
1719820800000,8,0.00010000
1719849600000,8,0.00010000
1719878400000,8,0.00010000
1719907200000,8,0.00010000
1719936000000,8,0.00010000
1719964800000,8,0.00010000
1719993600001,8,0.00010000
1720022400000,8,0.00010000
1720051200000,8,0.00010000
1720080000000,8,0.00003941
1720108800000,8,0.00010000
1720137600000,8,0.00010000
1720166400000,8,-0.00003312
1720195200000,8,0.00004353
1720224000000,8,0.00004724
1720252800003,8,0.00010000
1720281600000,8,0.00004314
1720310400000,8,0.00005889
1720339200000,8,0.00008585
1720368000000,8,0.00010000
1720396800000,8,0.00002409
1720425600000,8,-0.00000782
1720454400000,8,0.00010000
1720483200000,8,0.00009815
1720512000000,8,-0.00010281
1720540800000,8,0.00000139
1720569600001,8,-0.00003298
1720598400000,8,-0.00000992
1720627200000,8,0.00009674
1720656000000,8,0.00001707
1720684800000,8,0.00001251
1720713600000,8,0.00000435
1720742400000,8,0.00002344
1720771200000,8,-0.00000491
1720800000000,8,0.00000993
1720828800000,8,0.00007321
1720857600000,8,0.00001204
1720886400000,8,0.00010000
1720915200000,8,0.00003089
1720944000000,8,0.00008963
1720972800000,8,0.00008246
1721001600000,8,0.00001763
1721030400001,8,0.00010000
1721059200000,8,0.00010000
1721088000000,8,0.00008823
1721116800000,8,0.00010000
1721145600000,8,0.00010000
1721174400000,8,-0.00004512
1721203200000,8,0.00010000
1721232000000,8,0.00010000
1721260800000,8,0.00002614
1721289600000,8,0.00003613
1721318400000,8,0.00004503
1721347200000,8,0.00010000
1721376000000,8,0.00010000
1721404800000,8,0.00010000
1721433600000,8,-0.00002095
1721462400001,8,-0.00000896
1721491200000,8,0.00010000
1721520000000,8,0.00010000
1721548800000,8,0.00010000
1721577600000,8,0.00010000
1721606400000,8,0.00010000
1721635200000,8,0.00010000
1721664000001,8,0.00010000
1721692800000,8,-0.00004829
1721721600000,8,0.00010000
1721750400000,8,0.00010000
1721779200000,8,0.00010000
1721808000000,8,0.00010000
1721836800000,8,0.00010000
1721865600000,8,0.00010000
1721894400000,8,0.00010000
1721923200000,8,0.00010000
1721952000000,8,0.00010000
1721980800000,8,0.00008958
1722009600000,8,0.00002330
1722038400000,8,0.00006489
1722067200000,8,0.00010000
1722096000000,8,0.00010000
1722124800000,8,0.00010000
1722153600000,8,0.00005988
1722182400001,8,0.00010000
1722211200000,8,0.00010000
1722240000000,8,0.00010000
1722268800000,8,0.00010000
1722297600000,8,0.00004466
1722326400000,8,0.00010000
1722355200000,8,0.00010000
1722384000001,8,0.00010000
