calc_time,funding_interval_hours,last_funding_rate
1706745600000,8,0.00010000
1706774400000,8,0.00010000
1706803200002,8,0.00010000
1706832000000,8,0.00010000
1706860800000,8,0.00010000
1706889600000,8,0.00010000
1706918400000,8,0.00007645
1706947200000,8,0.00001470
1706976000000,8,0.00006306
1707004800000,8,0.00010000
1707033600000,8,0.00010000
1707062400000,8,0.00010000
1707091200000,8,-0.00002088
1707120000000,8,0.00010000
1707148800000,8,0.00010000
1707177600000,8,0.00010000
1707206400000,8,0.00010000
1707235200000,8,0.00010000
1707264000000,8,0.00010000
1707292800000,8,0.00003216
1707321600000,8,0.00010000
1707350400000,8,0.00010000
1707379200000,8,0.00010000
1707408000000,8,0.00010000
1707436800000,8,0.00010000
1707465600000,8,0.00010000
1707494400000,8,0.00010000
1707523200000,8,0.00010000
1707552000000,8,0.00010000
1707580800000,8,0.00004031
1707609600000,8,0.00010000
1707638400000,8,0.00010000
1707667200000,8,0.00010000
1707696000000,8,0.00010000
1707724800000,8,0.00010000
1707753600000,8,0.00010677
1707782400000,8,0.00010000
1707811200000,8,0.00010000
1707840000000,8,0.00011406
1707868800000,8,0.00010000
1707897600000,8,0.00010000
1707926400000,8,0.00024137
1707955200000,8,0.00010000
1707984000000,8,0.00013511
1708012800000,8,0.00010000
1708041600000,8,0.00031009
1708070400000,8,0.00045448
1708099200000,8,0.00041647
1708128000000,8,0.00010000
1708156800000,8,0.00010000
1708185600000,8,0.00016663
1708214400000,8,0.00030994
1708243200000,8,0.00029854
1708272000000,8,0.00030878
1708300800000,8,0.00031360
1708329600000,8,0.00041467
1708358400000,8,0.00028146
1708387200000,8,0.00010000
1708416000000,8,0.00032720
1708444800000,8,0.00020029
1708473600000,8,0.00018931
1708502400000,8,0.00010000
1708531200000,8,0.00010000
1708560000000,8,0.00042188
1708588800000,8,0.00038078
1708617600000,8,0.00034808
1708646400000,8,0.00010000
1708675200000,8,0.00010000
1708704000000,8,0.00018451
1708732800000,8,0.00010000
1708761600000,8,0.00031843
1708790400001,8,0.00026867
1708819200000,8,0.00010000
1708848000000,8,0.00030315
1708876800000,8,0.00027482
1708905600000,8,0.00030125
1708934400000,8,0.00015163
1708963200000,8,0.00010000
1708992000000,8,0.00015314
1709020800000,8,0.00065947
1709049600000,8,0.00035117
1709078400000,8,0.00033792
1709107200001,8,0.00023128
1709136000000,8,0.00066515
1709164800000,8,0.00067732
