calc_time,funding_interval_hours,last_funding_rate
1743465600001,8,0.00010000
1743494400000,8,0.00010000
1743523200001,8,0.00009399
1743552000000,8,-0.00003960
1743580800000,8,0.00005378
1743609600000,8,0.00002598
1743638400000,8,0.00010000
1743667200000,8,0.00010000
1743696000000,8,0.00010000
1743724800001,8,0.00010000
1743753600001,8,0.00010000
1743782400000,8,0.00010000
1743811200000,8,0.00005169
1743840000000,8,0.00003191
1743868800000,8,0.00005010
1743897600000,8,0.00003965
1743926400001,8,0.00003359
1743955200001,8,-0.00002741
1743984000000,8,0.00010000
1744012800000,8,0.00010000
1744041600000,8,0.00010000
1744070400000,8,-0.00006328
1744099200000,8,0.00001997
1744128000000,8,0.00005596
1744156800001,8,0.00010000
1744185600000,8,0.00008702
1744214400000,8,0.00010000
1744243200000,8,0.00005208
1744272000000,8,0.00006039
1744300800000,8,0.00008279
1744329600000,8,-0.00003093
1744358400001,8,0.00009075
1744387200000,8,0.00001666
1744416000000,8,0.00010000
1744444800000,8,0.00008734
1744473600000,8,0.00006646
1744502400001,8,0.00001776
1744531200000,8,-0.00000128
1744560000000,8,0.00009020
1744588800000,8,0.00010000
1744617600001,8,0.00001229
1744646400004,8,-0.00001367
1744675200002,8,-0.00006927
1744704000001,8,-0.00000202
1744732800000,8,-0.00009237
1744761600000,8,0.00000849
1744790400000,8,0.00000932
1744819200000,8,0.00001021
1744848000002,8,-0.00011033
1744876800000,8,0.00004018
1744905600000,8,0.00010000
1744934400001,8,-0.00017240
1744963200000,8,-0.00006653
1744992000000,8,-0.00000550
1745020800000,8,0.00003277
1745049600001,8,-0.00001930
1745078400000,8,-0.00001804
1745107200000,8,0.00007354
1745136000000,8,-0.00001745
1745164800002,8,0.00004425
1745193600001,8,0.00010000
1745222400000,8,0.00003600
1745251200003,8,-0.00003848
1745280000000,8,0.00010000
1745308800014,8,0.00008824
1745337600000,8,-0.00030294
1745366400001,8,-0.00010280
1745395200003,8,-0.00000974
1745424000002,8,0.00007446
1745452800000,8,-0.00014935
1745481600000,8,0.00000672
1745510400000,8,-0.00006622
1745539200009,8,-0.00020393
1745568000000,8,-0.00010215
1745596800003,8,-0.00003384
1745625600003,8,-0.00005620
1745654400004,8,0.00003108
1745683200008,8,0.00010000
1745712000000,8,0.00003080
1745740800000,8,0.00005266
1745769600001,8,0.00002336
1745798400003,8,0.00009621
1745827200000,8,0.00007964
1745856000000,8,0.00001306
1745884800000,8,-0.00001992
1745913600011,8,-0.00008837
1745942400000,8,0.00003223
1745971200001,8,0.00005408
