calc_time,funding_interval_hours,last_funding_rate
1775001600001,8,0.00008403
1775030400002,8,0.00002404
1775059200007,8,-0.00002692
1775088000000,8,-0.00001641
1775116800000,8,0.00000985
1775145600000,8,-0.00001785
1775174400003,8,-0.00002629
1775203200000,8,0.00002670
1775232000003,8,0.00000112
1775260800004,8,0.00001018
1775289600006,8,0.00003771
1775318400015,8,0.00000174
1775347200000,8,0.00002534
1775376000000,8,0.00000730
1775404800001,8,0.00009289
1775433600000,8,0.00005922
1775462400007,8,0.00003410
1775491200003,8,-0.00002059
1775520000000,8,0.00000685
1775548800000,8,0.00005092
1775577600000,8,0.00009505
1775606400001,8,0.00004754
1775635200000,8,-0.00000211
1775664000012,8,-0.00001172
1775692800000,8,-0.00004337
1775721600013,8,0.00004189
1775750400011,8,0.00001047
1775779200005,8,-0.00001943
1775808000000,8,0.00004958
1775836800000,8,-0.00009987
1775865600001,8,-0.00011867
1775894400000,8,-0.00003680
1775923200002,8,-0.00000913
1775952000008,8,-0.00001838
1775980800000,8,0.00004304
1776009600000,8,0.00010000
1776038400000,8,0.00004091
1776067200006,8,-0.00008557
1776096000007,8,-0.00009906
1776124800000,8,-0.00000321
1776153600000,8,0.00004605
1776182400006,8,-0.00006443
1776211200006,8,-0.00010773
1776240000000,8,-0.00000499
1776268800002,8,-0.00000496
1776297600000,8,-0.00005891
1776326400000,8,-0.00000314
1776355200012,8,0.00003899
1776384000000,8,0.00002273
1776412800012,8,0.00003222
1776441600009,8,-0.00020518
1776470400000,8,-0.00005892
1776499200009,8,-0.00002194
1776528000007,8,0.00000446
1776556800001,8,-0.00003838
1776585600006,8,0.00003389
1776614400000,8,-0.00002548
1776643200006,8,0.00005901
1776672000002,8,-0.00001386
1776700800004,8,-0.00003113
1776729600000,8,-0.00009771
1776758400000,8,-0.00004633
1776787200000,8,0.00004629
1776816000005,8,0.00006110
1776844800000,8,0.00003576
1776873600001,8,-0.00009916
1776902400000,8,-0.00014702
1776931200000,8,0.00003594
1776960000005,8,-0.00001076
1776988800005,8,-0.00003685
1777017600000,8,0.00000926
1777046400004,8,-0.00009913
1777075200009,8,-0.00002424
1777104000001,8,-0.00003371
1777132800002,8,-0.00002197
1777161600000,8,0.00001221
1777190400007,8,0.00002710
1777219200001,8,0.00003673
1777248000000,8,-0.00005109
1777276800005,8,0.00003289
1777305600000,8,0.00008774
1777334400003,8,-0.00000743
1777363200000,8,-0.00003529
1777392000000,8,0.00001917
1777420800006,8,0.00003382
1777449600011,8,-0.00003642
1777478400005,8,0.00004777
1777507200000,8,0.00008383
