calc_time,funding_interval_hours,last_funding_rate
1756684800000,8,0.00010000
1756713600000,8,0.00010000
1756742400000,8,0.00000103
1756771200005,8,0.00007578
1756800000006,8,0.00003612
1756828800001,8,0.00004473
1756857600001,8,0.00001450
1756886400000,8,0.00002549
1756915200000,8,-0.00002509
1756944000000,8,-0.00007895
1756972800000,8,-0.00002364
1757001600006,8,0.00010000
1757030400000,8,-0.00005473
1757059200000,8,0.00007407
1757088000000,8,0.00010000
1757116800002,8,0.00005167
1757145600002,8,0.00008415
1757174400000,8,0.00004168
1757203200008,8,0.00004100
1757232000000,8,0.00010000
1757260800000,8,0.00010000
1757289600000,8,0.00010000
1757318400001,8,0.00010000
1757347200000,8,0.00008660
1757376000000,8,0.00003123
1757404800000,8,0.00010000
1757433600000,8,0.00010000
1757462400000,8,0.00008409
1757491200008,8,0.00010000
1757520000006,8,0.00004263
1757548800002,8,0.00006583
1757577600003,8,0.00010000
1757606400003,8,0.00006490
1757635200004,8,0.00007069
1757664000000,8,0.00003536
1757692800000,8,0.00002492
1757721600000,8,-0.00022396
1757750400000,8,0.00001494
1757779200000,8,0.00000394
1757808000005,8,0.00002941
1757836800000,8,-0.00009547
1757865600002,8,-6.8E-7
1757894400004,8,0.00003003
1757923200002,8,0.00004094
1757952000000,8,0.00010000
1757980800005,8,0.00007099
1758009600001,8,-0.00000682
1758038400000,8,0.00004919
1758067200001,8,-0.00011689
1758096000000,8,0.00008382
1758124800000,8,0.00005914
1758153600000,8,0.00006519
1758182400005,8,0.00010000
1758211200008,8,0.00009468
1758240000001,8,-0.00000923
1758268800001,8,0.00007981
1758297600000,8,0.00006458
1758326400000,8,0.00010000
1758355200002,8,0.00010000
1758384000003,8,0.00010000
1758412800000,8,0.00000509
1758441600000,8,-0.00002719
1758470400000,8,-0.00000622
1758499200005,8,0.00001819
1758528000001,8,0.00005669
1758556800000,8,-9.1E-7
1758585600001,8,-0.00006091
1758614400003,8,0.00002120
1758643200002,8,0.00010000
1758672000001,8,0.00008644
1758700800002,8,0.00007247
1758729600002,8,-0.00003554
1758758400000,8,-0.00004195
1758787200004,8,0.00010000
1758816000000,8,0.00007501
1758844800000,8,0.00010000
1758873600000,8,0.00010000
1758902400003,8,0.00003582
1758931200001,8,-0.00006333
1758960000000,8,-0.00009528
1758988800004,8,0.00002016
1759017600002,8,-0.00002151
1759046400000,8,0.00002356
1759075200000,8,0.00003758
1759104000001,8,0.00000661
1759132800000,8,-0.00001771
1759161600002,8,-0.00006756
1759190400005,8,-0.00012606
