calc_time,funding_interval_hours,last_funding_rate
1717200000000,8,0.00010000
1717228800001,8,0.00010000
1717257600000,8,0.00010000
1717286400000,8,0.00010000
1717315200000,8,0.00010000
1717344000000,8,0.00010000
1717372800000,8,0.00010000
1717401600000,8,0.00010409
1717430400000,8,0.00010000
1717459200000,8,0.00010000
1717488000000,8,0.00010000
1717516800000,8,0.00010000
1717545600000,8,0.00010000
1717574400000,8,0.00012397
1717603200000,8,0.00010000
1717632000001,8,0.00010000
1717660800000,8,0.00010000
1717689600000,8,0.00022125
1717718400000,8,0.00010000
1717747200000,8,0.00010000
1717776000000,8,0.00035651
1717804800001,8,0.00010000
1717833600000,8,0.00010000
1717862400000,8,0.00010000
1717891200000,8,0.00010000
1717920000000,8,0.00010000
1717948800000,8,0.00010000
1717977600000,8,0.00010000
1718006400000,8,0.00010000
1718035200000,8,0.00010000
1718064000000,8,0.00010000
1718092800000,8,0.00010000
1718121600000,8,0.00010000
1718150400003,8,0.00010000
1718179200000,8,0.00010000
1718208000000,8,0.00010000
1718236800000,8,0.00010000
1718265600001,8,0.00010000
1718294400001,8,0.00010000
1718323200000,8,0.00010000
1718352000000,8,0.00010000
1718380800000,8,0.00010000
1718409600000,8,0.00010000
1718438400000,8,0.00010000
1718467200000,8,0.00010000
1718496000000,8,0.00010000
1718524800000,8,0.00010000
1718553600000,8,0.00010000
1718582400001,8,0.00010000
1718611200000,8,0.00010000
1718640000000,8,0.00010000
1718668800000,8,0.00009422
1718697600000,8,-0.00012752
1718726400000,8,0.00004638
1718755200000,8,-0.00002181
1718784000000,8,0.00003220
1718812800000,8,0.00004700
1718841600000,8,-0.00000447
1718870400000,8,0.00010000
1718899200000,8,0.00010000
1718928000001,8,0.00010000
1718956800000,8,0.00007490
1718985600000,8,0.00010000
1719014400000,8,0.00010000
1719043200000,8,0.00009389
1719072000000,8,0.00010000
1719100800000,8,0.00004160
1719129600000,8,0.00010000
1719158400000,8,0.00010000
1719187200000,8,0.00010000
1719216000000,8,-0.00001273
1719244800000,8,-0.00002308
1719273600000,8,-0.00001186
1719302400001,8,0.00010000
1719331200000,8,0.00010000
1719360000006,8,0.00006755
1719388800000,8,0.00010000
1719417600000,8,0.00010000
1719446400000,8,0.00010000
1719475200000,8,0.00010000
1719504000004,8,0.00010000
1719532800001,8,0.00010000
1719561600000,8,0.00010000
1719590400000,8,0.00010000
1719619200000,8,0.00010000
1719648000000,8,0.00034576
1719676800000,8,0.00021407
1719705600000,8,0.00014908
