calc_time,funding_interval_hours,last_funding_rate
1740787200000,8,0.00010000
1740816000000,8,0.00004311
1740844800001,8,-0.00001436
1740873600000,8,0.00004383
1740902400000,8,0.00000558
1740931200000,8,-0.00009118
1740960000000,8,-0.00003645
1740988800000,8,0.00008126
1741017600004,8,0.00010000
1741046400002,8,0.00010000
1741075200008,8,0.00008233
1741104000000,8,0.00004347
1741132800000,8,-0.00008954
1741161600000,8,0.00006310
1741190400000,8,0.00004024
1741219200000,8,9.2E-7
1741248000000,8,0.00004905
1741276800000,8,0.00002068
1741305600000,8,0.00006021
1741334400000,8,0.00002080
1741363200000,8,0.00000695
1741392000000,8,0.00008399
1741420800001,8,0.00006645
1741449600000,8,0.00004384
1741478400000,8,-0.00003398
1741507200000,8,-9.8E-7
1741536000000,8,-0.00002277
1741564800000,8,0.00008372
1741593600000,8,0.00006397
1741622400000,8,0.00008235
1741651200000,8,0.00010000
1741680000000,8,0.00010000
1741708800000,8,0.00010000
1741737600001,8,0.00000416
1741766400000,8,0.00004729
1741795200000,8,0.00003393
1741824000000,8,0.00008830
1741852800000,8,0.00004315
1741881600000,8,0.00002654
1741910400000,8,0.00010000
1741939200000,8,0.00010000
1741968000000,8,0.00004305
1741996800000,8,-0.00000911
1742025600000,8,0.00002753
1742054400000,8,0.00009696
1742083200000,8,-0.00007231
1742112000000,8,0.00000357
1742140800000,8,0.00001160
1742169600000,8,-0.00010480
1742198400000,8,0.00010000
1742227200000,8,0.00010000
1742256000000,8,0.00003704
1742284800000,8,-0.00002145
1742313600000,8,0.00001135
1742342400000,8,0.00000963
1742371200000,8,-0.00004658
1742400000000,8,0.00006518
1742428800000,8,-0.00007281
1742457600001,8,0.00004075
1742486400000,8,0.00010000
1742515200000,8,-0.00002226
1742544000000,8,-0.00002247
1742572800000,8,0.00002404
1742601600002,8,-0.00006144
1742630400001,8,-0.00011808
1742659200001,8,-0.00010634
1742688000000,8,0.00000517
1742716800000,8,0.00007109
1742745600000,8,-0.00003039
1742774400001,8,-0.00011392
1742803200000,8,-0.00001127
1742832000000,8,-0.00014557
1742860800000,8,-0.00021070
1742889600003,8,-0.00006233
1742918400000,8,-0.00009804
1742947200000,8,-0.00012633
1742976000000,8,0.00000209
1743004800000,8,-0.00003745
1743033600000,8,0.00010000
1743062400000,8,-0.00000301
1743091200005,8,0.00008865
1743120000000,8,0.00010000
1743148800000,8,0.00010000
1743177600000,8,0.00010000
1743206400000,8,0.00010000
1743235200001,8,0.00006340
1743264000000,8,0.00001045
1743292800001,8,0.00007181
1743321600000,8,-0.00001078
1743350400002,8,0.00003043
1743379200000,8,0.00007610
