calc_time,funding_interval_hours,last_funding_rate
1725148800000,8,0.00002144
1725177600001,8,0.00001607
1725206400004,8,0.00002227
1725235200004,8,-0.00003476
1725264000005,8,0.00006317
1725292800001,8,0.00004257
1725321600002,8,0.00008979
1725350400001,8,0.00008124
1725379200000,8,0.00005205
1725408000000,8,0.00003903
1725436800000,8,-0.00007255
1725465600000,8,-0.00007864
1725494400001,8,0.00010000
1725523200000,8,0.00003227
1725552000000,8,0.00002351
1725580800000,8,0.00008074
1725609600001,8,0.00000862
1725638400000,8,0.00004123
1725667200000,8,-0.00013492
1725696000000,8,-0.00008341
1725724800000,8,-0.00008497
1725753600001,8,-0.00000560
1725782400000,8,7.7E-7
1725811200000,8,0.00000268
1725840000000,8,-0.00001815
1725868800000,8,-0.00001888
1725897600000,8,0.00003942
1725926400000,8,0.00004093
1725955200000,8,-0.00000431
1725984000000,8,0.00003356
1726012800001,8,-0.00002831
1726041600000,8,-0.00001003
1726070400000,8,0.00000369
1726099200000,8,0.00001423
1726128000000,8,0.00007317
1726156800000,8,0.00008226
1726185600001,8,0.00001212
1726214400001,8,-0.00001192
1726243200000,8,0.00003738
1726272000000,8,-0.00005585
1726300800000,8,0.00008186
1726329600000,8,0.00002002
1726358400000,8,0.00010000
1726387200000,8,0.00010000
1726416000000,8,0.00008814
1726444800001,8,0.00010000
1726473600000,8,0.00006067
1726502400000,8,0.00005360
1726531200000,8,0.00009174
1726560000000,8,0.00010000
1726588800000,8,0.00005650
1726617600000,8,0.00001163
1726646400000,8,0.00003234
1726675200005,8,0.00002244
1726704000000,8,0.00010000
1726732800000,8,0.00010000
1726761600000,8,0.00009200
1726790400000,8,0.00010000
1726819200001,8,0.00003752
1726848000002,8,0.00010000
1726876800007,8,0.00007215
1726905600000,8,0.00004339
1726934400000,8,0.00000377
1726963200000,8,0.00005393
1726992000000,8,0.00004679
1727020800001,8,0.00009871
1727049600001,8,0.00007880
1727078400000,8,0.00007433
1727107200000,8,0.00005550
1727136000000,8,0.00005755
1727164800000,8,0.00002593
1727193600000,8,0.00003666
1727222400000,8,0.00010000
1727251200000,8,0.00005447
1727280000000,8,0.00003277
1727308800000,8,0.00005938
1727337600001,8,0.00010000
1727366400000,8,0.00010000
1727395200000,8,0.00005991
1727424000001,8,0.00005893
1727452800000,8,0.00010000
1727481600000,8,0.00010000
1727510400000,8,0.00010000
1727539200000,8,0.00010000
1727568000000,8,0.00010000
1727596800000,8,0.00008236
1727625600000,8,0.00010000
1727654400000,8,0.00010000
