calc_time,funding_interval_hours,last_funding_rate
1769904000015,8,-0.00012188
1769932800006,8,-0.00014496
1769961600002,8,-0.00000767
1769990400000,8,-0.00001282
1770019200000,8,0.00003338
1770048000000,8,-0.00012052
1770076800000,8,-0.00002630
1770105600006,8,-0.00002985
1770134400000,8,-0.00003441
1770163200000,8,0.00005644
1770192000007,8,-0.00003877
1770220800000,8,0.00008681
1770249600000,8,0.00002829
1770278400007,8,0.00003764
1770307200007,8,-0.00003208
1770336000002,8,0.00003195
1770364800000,8,-0.00012200
1770393600000,8,-0.00022230
1770422400000,8,-0.00022951
1770451200005,8,-0.00007729
1770480000011,8,0.00004537
1770508800003,8,-0.00001746
1770537600004,8,3E-8
1770566400000,8,-0.00002951
1770595200000,8,-0.00001568
1770624000000,8,0.00004403
1770652800001,8,-0.00003535
1770681600011,8,-0.00003890
1770710400000,8,0.00002599
1770739200000,8,-0.00004927
1770768000000,8,0.00002908
1770796800003,8,-0.00005796
1770825600000,8,0.00003206
1770854400011,8,0.00007300
1770883200001,8,0.00001443
1770912000000,8,0.00004405
1770940800006,8,0.00010000
1770969600007,8,-0.00004079
1770998400000,8,0.00000429
1771027200002,8,-0.00002256
1771056000004,8,0.00003776
1771084800000,8,0.00002966
1771113600000,8,0.00007660
1771142400001,8,-0.00003361
1771171200000,8,-0.00006029
1771200000001,8,0.00003231
1771228800003,8,0.00004134
1771257600006,8,0.00000365
1771286400000,8,0.00005493
1771315200000,8,-0.00003155
1771344000001,8,0.00006470
1771372800002,8,0.00008586
1771401600012,8,0.00008270
1771430400001,8,0.00003064
1771459200001,8,0.00002934
1771488000000,8,0.00001811
1771516800000,8,-0.00004983
1771545600001,8,0.00009247
1771574400016,8,0.00006588
1771603200003,8,0.00000999
1771632000011,8,0.00000317
1771660800000,8,-0.00003673
1771689600000,8,0.00000397
1771718400001,8,-0.00003211
1771747200000,8,0.00004344
1771776000000,8,0.00007330
1771804800000,8,0.00010000
1771833600000,8,-0.00006837
1771862400012,8,-0.00005680
1771891200008,8,0.00000990
1771920000013,8,-0.00007492
1771948800000,8,-0.00002709
1771977600002,8,-0.00000283
1772006400001,8,-0.00003928
1772035200000,8,-0.00003224
1772064000000,8,-0.00011151
1772092800005,8,-0.00005365
1772121600000,8,-0.00000425
1772150400002,8,-0.00003180
1772179200007,8,-0.00009365
1772208000002,8,-0.00003259
1772236800000,8,-0.00003340
